Hop1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hop1,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
57761,0.65,0.18,0.82,1.77,-2.02,3.89,0.13,2.1,,1421,0.65,0.18,0.82,1.77,-2.02,3.89,0.13,2.1
57777,0.34,0.04,0.59,1.61,-2.33,3.52,0.17,1.58,,1437,0.34,0.04,0.59,1.61,-2.33,3.52,0.17,1.58
57793,0.33,0.24,0.72,1.66,-2.07,3.55,0.57,0.97,,1453,0.33,0.24,0.72,1.66,-2.07,3.55,0.57,0.97
57809,0.31,-0.08,1.2,1.65,-1.19,3.22,1.63,1.92,,1469,0.31,-0.08,1.2,1.65,-1.19,3.22,1.63,1.92
57825,0.26,0.39,1.2,2.04,-2,3.04,1.3,2.34,,1485,0.26,0.39,1.2,2.04,-2,3.04,1.3,2.34
57842,-0.33,0.28,0.89,2.01,-2.44,3.19,0.6,2.22,,1502,-0.33,0.28,0.89,2.01,-2.44,3.19,0.6,2.22
57858,0.17,0.25,1.14,1.36,-2.48,3.09,-0.12,1.13,,1518,0.17,0.25,1.14,1.36,-2.48,3.09,-0.12,1.13
57874,1.14,0.1,0.85,1.84,-2.5,3.42,0.78,1.53,,1534,1.14,0.1,0.85,1.84,-2.5,3.42,0.78,1.53
57890,0.77,0.05,-0.33,2.16,-2.85,3.75,0.33,1.63,,1550,0.77,0.05,-0.33,2.16,-2.85,3.75,0.33,1.63
57906,0.54,-0.03,0.11,1.96,-3.11,3.69,0.22,2.25,,1566,0.54,-0.03,0.11,1.96,-3.11,3.69,0.22,2.25
57922,0.35,-0.36,0.78,1.91,-2.64,3.51,-0.03,2.09,,1582,0.35,-0.36,0.78,1.91,-2.64,3.51,-0.03,2.09
57939,0.01,-0.69,1.17,2.29,-2.56,3.09,-0.3,1.83,,1599,0.01,-0.69,1.17,2.29,-2.56,3.09,-0.3,1.83
57955,0.34,-0.77,1.02,2.1,-2.75,2.76,0.73,1.09,,1615,0.34,-0.77,1.02,2.1,-2.75,2.76,0.73,1.09
57971,0.89,-1.01,1.08,2.29,-2.82,2.66,1.22,0.97,,1631,0.89,-1.01,1.08,2.29,-2.82,2.66,1.22,0.97
57987,0.16,-1.34,1.52,2.45,-3.1,2.44,1.06,0.61,,1647,0.16,-1.34,1.52,2.45,-3.1,2.44,1.06,0.61
58003,-0.59,-1.6,1,2.31,-3.1,2.23,1.43,1.71,,1663,-0.59,-1.6,1,2.31,-3.1,2.23,1.43,1.71
58019,-0.57,-1.6,1.49,2.32,-2.34,1.77,0.95,2.19,,1679,-0.57,-1.6,1.49,2.32,-2.34,1.77,0.95,2.19
58036,-0.78,-1.89,1.43,1.49,-2.86,2.5,0.63,1.58,,1696,-0.78,-1.89,1.43,1.49,-2.86,2.5,0.63,1.58
58052,-0.84,-1.81,1.16,1.65,-2.34,2.82,1.16,1.81,,1712,-0.84,-1.81,1.16,1.65,-2.34,2.82,1.16,1.81
58068,-0.98,-1.83,1.01,2.42,-2.72,2.65,0.98,1.52,,1728,-0.98,-1.83,1.01,2.42,-2.72,2.65,0.98,1.52
58084,0.51,-0.03,0.57,2.41,-1.68,3.4,0.62,0.85,,1744,0.51,-0.03,0.57,2.41,-1.68,3.4,0.62,0.85
58100,0.52,-0.02,1.12,2.2,-1.99,3.14,1.19,1.1,,1760,0.52,-0.02,1.12,2.2,-1.99,3.14,1.19,1.1
58116,0.74,-0.08,0.79,2.46,-2.07,2.8,1.79,2.37,,1776,0.74,-0.08,0.79,2.46,-2.07,2.8,1.79,2.37
58133,0.26,0.14,0.37,2.37,-2.5,3.21,1.24,1.82,,1793,0.26,0.14,0.37,2.37,-2.5,3.21,1.24,1.82
58149,0.49,0.05,0.18,1.84,-2.11,2.72,1.69,0.59,,1809,0.49,0.05,0.18,1.84,-2.11,2.72,1.69,0.59
58165,0.48,0.17,0.01,2.28,-2.06,2.5,2.05,1.08,,1825,0.48,0.17,0.01,2.28,-2.06,2.5,2.05,1.08
58181,0.54,0.24,-0.47,2.43,-2,2.62,1.56,2.18,,1841,0.54,0.24,-0.47,2.43,-2,2.62,1.56,2.18
58197,0.66,0.32,-0.72,1.52,-2.45,2.75,1.2,1.54,,1857,0.66,0.32,-0.72,1.52,-2.45,2.75,1.2,1.54
58213,0.63,-0.05,-0.39,1.37,-2.73,2.96,1.78,1.76,,1873,0.63,-0.05,-0.39,1.37,-2.73,2.96,1.78,1.76
58229,1.01,-0.28,-0.26,1.54,-2.69,2.67,1.4,1.87,,1889,1.01,-0.28,-0.26,1.54,-2.69,2.67,1.4,1.87
58246,0.64,-0.27,-0.62,1.78,-2.57,2.74,1.39,1.43,,1906,0.64,-0.27,-0.62,1.78,-2.57,2.74,1.39,1.43
58262,0.66,-0.04,0.07,1.61,-2.14,2.55,1.25,1.59,,1922,0.66,-0.04,0.07,1.61,-2.14,2.55,1.25,1.59
58278,0.52,0.28,0.05,1.9,-2.03,2.38,0.77,1.56,,1938,0.52,0.28,0.05,1.9,-2.03,2.38,0.77,1.56
58294,0.64,0.09,-0.12,1.59,-2.24,2.4,0.48,1.42,,1954,0.64,0.09,-0.12,1.59,-2.24,2.4,0.48,1.42
58310,0.84,-0.03,-0.1,1.46,-2.31,2.71,0.35,1.63,,1970,0.84,-0.03,-0.1,1.46,-2.31,2.71,0.35,1.63
58326,1,-0.12,0.44,1.64,-2.63,2.8,0.28,1.68,,1986,1,-0.12,0.44,1.64,-2.63,2.8,0.28,1.68
